Filter,Reduction,Model,Accuracy_List,Accuracy_Mean,F1_Score,B_Accuracy
RFE,Sin reducción,NeuralNetwork_100,0.880717001629549,0.880717001629549,0.8757886721745802,0.8793215456082087
RFE,Sin reducción,NeuralNetwork_100_50,0.8262900597501359,0.8262900597501359,0.8127255832438909,0.8219603419512025
RFE,Sin reducción,NeuralNetwork_50,0.8617055947854426,0.8617055947854426,0.852737600915766,0.8593560064837403
RFE,Sin reducción,SVM_0.1,0.9047256925583922,0.9047256925583922,0.9049131371321042,0.90576547407711
RFE,Sin reducción,SVM_0.5,0.9310157523085281,0.9310157523085281,0.9304525116369629,0.9310897039226106
RFE,Sin reducción,SVM_1.0,0.936664856056491,0.936664856056491,0.9360584809871352,0.9367547496002782
Sin_Filtrado,ICA,KNN_1,0.5921781640412819,0.5921781640412819,0.5903078058010132,0.5912741252760938
Sin_Filtrado,ICA,KNN_10,0.6360673546985334,0.6360673546985334,0.6330681229335149,0.6356062548135866
Sin_Filtrado,ICA,KNN_20,0.6501901140684411,0.6501901140684411,0.6457938378459633,0.6497002915967149
Sin_Filtrado,ICA,NeuralNetwork_100,0.5954372623574145,0.5954372623574145,0.5787531979708811,0.5963445629810098
Sin_Filtrado,ICA,NeuralNetwork_100_50,0.5827267789244975,0.5827267789244975,0.5499660981239178,0.581102710736678
Sin_Filtrado,ICA,NeuralNetwork_50,0.6014122759369908,0.6014122759369908,0.5885260251818737,0.6029456331200949
Sin_Filtrado,ICA,SVM_0.1,0.6586637696903855,0.6586637696903855,0.645678315941056,0.6588052699824505
Sin_Filtrado,ICA,SVM_0.5,0.6695274307441608,0.6695274307441608,0.6581501896931197,0.6688048250134493
Sin_Filtrado,ICA,SVM_1.0,0.6705051602390005,0.6705051602390005,0.6595162232017635,0.6695369233628105
Sin_Filtrado,LDA,KNN_1,0.9538294405214558,0.9538294405214558,0.9541179326284034,0.9544510265288364
Sin_Filtrado,LDA,KNN_10,0.9598044541010321,0.9598044541010321,0.9597447836173503,0.9600615636257013
Sin_Filtrado,LDA,KNN_20,0.9603476371537208,0.9603476371537208,0.9603499116983911,0.9605954344672198
Sin_Filtrado,LDA,NeuralNetwork_100,0.8942965779467681,0.8942965779467681,0.8896533548322128,0.8969726644284781
